route,from_a,to_b,change,totaltime,route_min,full_route,stop1,stop2,stop3,stop4,stop5,count,geom,interval_t
Celovce (Cselej) - Rátka,Celovce,Rátka,3,03:27:00,207,"{Celovce,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Rátka}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Cerhov - Rátka,Cerhov,Rátka,3,03:41:00,221,"{Cerhov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Rátka}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,5,NULL,over 180 min
Obisovce - Szegi,Obisovce,Szegi,3,03:00:00,180,"{Obisovce,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Szegi}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,from 120 to 180 min
Velka Lodina - Szegi,Velka Lodina,Szegi,3,03:00:00,180,"{""Velka Lodina"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Szegi}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,from 120 to 180 min
Kalsa - Rátka,Kalsa,Rátka,3,03:19:00,199,"{Kalsa,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Rátka}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Kuzmice - Rátka,Kuzmice,Rátka,3,03:25:00,205,"{Kuzmice,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Rátka}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Lastovce - Rátka,Lastovce,Rátka,4,03:43:00,223,"{Lastovce,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Rátka}",Michalany,Kosice,Miskolc-Tiszai,Szerencs,NULL,1,NULL,over 180 min
Mala Lodina - Rátka,Mala Lodina,Rátka,3,03:14:00,194,"{""Mala Lodina"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Rátka}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Obisovce - Rátka,Obisovce,Rátka,3,03:14:00,194,"{Obisovce,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Rátka}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Ruskov - Rátka,Ruskov,Rátka,3,03:08:00,188,"{Ruskov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Rátka}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Slanec - Rátka,Slanec,Rátka,3,03:14:00,194,"{Slanec,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Rátka}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Slovenske Nove Mesto (Kisújhely) - Rátka,Slovenske Nove Mesto,Rátka,3,03:46:00,226,"{""Slovenske Nove Mesto"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Rátka}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,5,NULL,over 180 min
Somotor - Rátka,Somotor,Rátka,3,04:01:00,241,"{Somotor,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Rátka}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Stanca - Rátka,Stanca,Rátka,4,03:56:00,236,"{Stanca,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Rátka}",Michalany,Kosice,Miskolc-Tiszai,Szerencs,NULL,1,NULL,over 180 min
Streda Nad Bodrogom (Bodrogszerdahely) - Rátka,Streda Nad Bodrogom,Rátka,3,03:55:00,235,"{""Streda Nad Bodrogom"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Rátka}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,6,NULL,over 180 min
Bohdanovce - Rátka,Bohdanovce,Rátka,3,03:04:00,184,"{Bohdanovce,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Rátka}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Trebejov - Rátka,Trebejov,Rátka,4,03:01:00,181,"{Trebejov,Kysak,Kysak,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Rátka}",Kysak,Kosice,Miskolc-Tiszai,Szerencs,NULL,1,NULL,over 180 min
Trebisov - Rátka,Trebisov,Rátka,3,03:36:00,216,"{Trebisov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Rátka}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Velaty - Rátka,Velaty,Rátka,4,03:48:00,228,"{Velaty,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Rátka}",Michalany,Kosice,Miskolc-Tiszai,Szerencs,NULL,1,NULL,over 180 min
Velka Lodina - Rátka,Velka Lodina,Rátka,3,03:11:00,191,"{""Velka Lodina"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Rátka}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Vysna Mysla - Rátka,Vysna Mysla,Rátka,3,03:01:00,181,"{""Vysna Mysla"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Rátka}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Celovce (Cselej) - Sárospatak,Celovce,Sárospatak,2,04:06:00,246,"{Celovce,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sárospatak}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
