route,from_a,to_b,change,totaltime,route_min,full_route,stop1,stop2,stop3,stop4,stop5,count,geom,interval_t
Nizna Mysla - Tállya,Nizna Mysla,Tállya,3,03:02:00,182,"{""Nizna Mysla"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Tállya}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Obisovce - Tállya,Obisovce,Tállya,3,03:18:00,198,"{Obisovce,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Tállya}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Ruskov - Tállya,Ruskov,Tállya,3,03:12:00,192,"{Ruskov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Tállya}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Slanec - Tállya,Slanec,Tállya,3,03:18:00,198,"{Slanec,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Tállya}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Slovenske Nove Mesto (Kisújhely) - Tállya,Slovenske Nove Mesto,Tállya,3,03:50:00,230,"{""Slovenske Nove Mesto"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Tállya}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,5,NULL,over 180 min
Streda Nad Bodrogom (Bodrogszerdahely) - Tokaj,Streda Nad Bodrogom,Tokaj,2,03:30:00,210,"{""Streda Nad Bodrogom"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Tokaj}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,5,NULL,over 180 min
Trebisov - Tokaj,Trebisov,Tokaj,2,03:11:00,191,"{Trebisov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Tokaj}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Velaty - Tokaj,Velaty,Tokaj,3,03:27:00,207,"{Velaty,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Tokaj}",Michalany,Kosice,Miskolc-Tiszai,NULL,NULL,4,NULL,over 180 min
Celovce (Cselej) - Zsujta,Celovce,Zsujta,4,13:21:00,801,"{Celovce,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Zsujta}",Kosice,Miskolc-Tiszai,Szerencs,Abaújszántó,NULL,1,NULL,over 180 min
Cerhov - Zsujta,Cerhov,Zsujta,4,12:50:00,770,"{Cerhov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Zsujta}",Kosice,Miskolc-Tiszai,Szerencs,Abaújszántó,NULL,1,NULL,over 180 min
Kalsa - Zsujta,Kalsa,Zsujta,4,12:28:00,748,"{Kalsa,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Zsujta}",Kosice,Miskolc-Tiszai,Szerencs,Abaújszántó,NULL,1,NULL,over 180 min
Kosice (Kassa) - Zsujta,Kosice,Zsujta,3,11:40:00,700,"{Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Zsujta}",Miskolc-Tiszai,Szerencs,Abaújszántó,NULL,NULL,1,NULL,over 180 min
Kostolany Nad Hornadom - Zsujta,Kostolany Nad Hornadom,Zsujta,4,12:06:00,726,"{""Kostolany Nad Hornadom"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Zsujta}",Kosice,Miskolc-Tiszai,Szerencs,Abaújszántó,NULL,1,NULL,over 180 min
Kuzmice - Zsujta,Kuzmice,Zsujta,4,12:34:00,754,"{Kuzmice,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Zsujta}",Kosice,Miskolc-Tiszai,Szerencs,Abaújszántó,NULL,1,NULL,over 180 min
Kysak (Sároskõszeg) - Zsujta,Kysak,Zsujta,3,12:04:00,724,"{Kysak,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Zsujta}",Kosice,Miskolc-Tiszai,Szerencs,Abaújszántó,NULL,1,NULL,over 180 min
Lastovce - Zsujta,Lastovce,Zsujta,5,12:52:00,772,"{Lastovce,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Zsujta}",Michalany,Kosice,Miskolc-Tiszai,Szerencs,Abaújszántó,1,NULL,over 180 min
Mala Lodina - Zsujta,Mala Lodina,Zsujta,4,12:23:00,743,"{""Mala Lodina"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Zsujta}",Kosice,Miskolc-Tiszai,Szerencs,Abaújszántó,NULL,1,NULL,over 180 min
Michalany (Alsómihályi) - Zsujta,Michalany,Zsujta,4,12:43:00,763,"{Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Zsujta}",Kosice,Miskolc-Tiszai,Szerencs,Abaújszántó,NULL,1,NULL,over 180 min
Nizna Mysla - Zsujta,Nizna Mysla,Zsujta,4,12:07:00,727,"{""Nizna Mysla"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Zsujta}",Kosice,Miskolc-Tiszai,Szerencs,Abaújszántó,NULL,1,NULL,over 180 min
Obisovce - Zsujta,Obisovce,Zsujta,4,12:38:00,758,"{Obisovce,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Zsujta}",Kosice,Miskolc-Tiszai,Szerencs,Abaújszántó,NULL,1,NULL,over 180 min
Ruskov - Zsujta,Ruskov,Zsujta,4,12:17:00,737,"{Ruskov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Zsujta}",Kosice,Miskolc-Tiszai,Szerencs,Abaújszántó,NULL,1,NULL,over 180 min
Slanec - Zsujta,Slanec,Zsujta,4,12:23:00,743,"{Slanec,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Zsujta}",Kosice,Miskolc-Tiszai,Szerencs,Abaújszántó,NULL,1,NULL,over 180 min
Slovenske Nove Mesto (Kisújhely) - Zsujta,Slovenske Nove Mesto,Zsujta,4,12:55:00,775,"{""Slovenske Nove Mesto"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Zsujta}",Kosice,Miskolc-Tiszai,Szerencs,Abaújszántó,NULL,1,NULL,over 180 min
Somotor - Zsujta,Somotor,Zsujta,4,13:10:00,790,"{Somotor,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Zsujta}",Kosice,Miskolc-Tiszai,Szerencs,Abaújszántó,NULL,1,NULL,over 180 min
Stanca - Zsujta,Stanca,Zsujta,5,13:05:00,785,"{Stanca,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Zsujta}",Michalany,Kosice,Miskolc-Tiszai,Szerencs,Abaújszántó,1,NULL,over 180 min
Streda Nad Bodrogom (Bodrogszerdahely) - Zsujta,Streda Nad Bodrogom,Zsujta,4,13:04:00,784,"{""Streda Nad Bodrogom"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Zsujta}",Kosice,Miskolc-Tiszai,Szerencs,Abaújszántó,NULL,1,NULL,over 180 min
Trebejov - Zsujta,Trebejov,Zsujta,4,12:11:00,731,"{Trebejov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Zsujta}",Kosice,Miskolc-Tiszai,Szerencs,Abaújszántó,NULL,1,NULL,over 180 min
Bohdanovce - Zsujta,Bohdanovce,Zsujta,4,12:13:00,733,"{Bohdanovce,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Zsujta}",Kosice,Miskolc-Tiszai,Szerencs,Abaújszántó,NULL,1,NULL,over 180 min
Trebisov - Zsujta,Trebisov,Zsujta,5,13:22:00,802,"{Trebisov,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Zsujta}",Michalany,Kosice,Miskolc-Tiszai,Szerencs,Abaújszántó,1,NULL,over 180 min
Velaty - Zsujta,Velaty,Zsujta,5,12:57:00,777,"{Velaty,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Zsujta}",Michalany,Kosice,Miskolc-Tiszai,Szerencs,Abaújszántó,1,NULL,over 180 min
Velka Lodina - Zsujta,Velka Lodina,Zsujta,4,12:20:00,740,"{""Velka Lodina"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Zsujta}",Kosice,Miskolc-Tiszai,Szerencs,Abaújszántó,NULL,1,NULL,over 180 min
Vysna Mysla - Zsujta,Vysna Mysla,Zsujta,4,12:10:00,730,"{""Vysna Mysla"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Zsujta}",Kosice,Miskolc-Tiszai,Szerencs,Abaújszántó,NULL,1,NULL,over 180 min
