sector,muni,g_ord,sk_hobo
HU HOBO,HERNÁDKÉRCS,POP_above_65_2020,28
HU HOBO,HERNÁDSZURDOK,POP_0-14_2020,37
HU HOBO,HERNÁDSZURDOK,POP_15-64_2020,123
HU HOBO,HERNÁDSZURDOK,POP_above_65_2020,25
HU HOBO,HIDASNÉMETI,POP_0-14_2020,162
HU HOBO,HIDASNÉMETI,POP_15-64_2020,724
HU HOBO,HIDASNÉMETI,POP_above_65_2020,203
HU HOBO,HOLLÓHÁZA,POP_0-14_2020,57
HU HOBO,HOLLÓHÁZA,POP_15-64_2020,476
HU HOBO,HOLLÓHÁZA,POP_above_65_2020,202
HU HOBO,Hraň,POP_0-14_2020,236
HU HOBO,Hraň,POP_15-64_2020,1076
HU HOBO,Hraň,POP_above_65_2020,253
HU HOBO,Hrčeľ,POP_0-14_2020,386
HU HOBO,Hrčeľ,POP_15-64_2020,615
HU HOBO,Hrčeľ,POP_above_65_2020,109
HU HOBO,Kalša,POP_0-14_2020,120
HU HOBO,Kalša,POP_15-64_2020,497
HU HOBO,Kalša,POP_above_65_2020,115
HU HOBO,Kašov,POP_0-14_2020,51
HU HOBO,Kašov,POP_15-64_2020,202
HU HOBO,Kašov,POP_above_65_2020,55
HU HOBO,Kazimír,POP_0-14_2020,113
HU HOBO,Kazimír,POP_15-64_2020,610
HU HOBO,Kazimír,POP_above_65_2020,117
HU HOBO,Kechnec,POP_0-14_2020,221
HU HOBO,Kechnec,POP_15-64_2020,825
HU HOBO,Kechnec,POP_above_65_2020,141
HU HOBO,KÉKED,POP_0-14_2020,27
HU HOBO,KÉKED,POP_15-64_2020,147
HU HOBO,KÉKED,POP_above_65_2020,33
HU HOBO,KISHUTA,POP_0-14_2020,14
HU HOBO,KISHUTA,POP_15-64_2020,188
HU HOBO,KISHUTA,POP_above_65_2020,65
HU HOBO,Klin nad Bodrogom,POP_0-14_2020,23
HU HOBO,Klin nad Bodrogom,POP_15-64_2020,140
HU HOBO,Klin nad Bodrogom,POP_above_65_2020,38
HU HOBO,Kokšov  - Bakša,POP_0-14_2020,213
HU HOBO,Kokšov  - Bakša,POP_15-64_2020,852
HU HOBO,Kokšov  - Bakša,POP_above_65_2020,185
HU HOBO,KOMLÓSKA,POP_0-14_2020,30
HU HOBO,KOMLÓSKA,POP_15-64_2020,141
HU HOBO,KOMLÓSKA,POP_above_65_2020,38
HU HOBO,KORLÁT,POP_0-14_2020,40
HU HOBO,KORLÁT,POP_15-64_2020,197
HU HOBO,KORLÁT,POP_above_65_2020,44
HU HOBO,Košice - Barca,POP_0-14_2020,542
HU HOBO,Košice - Barca,POP_15-64_2020,2488
HU HOBO,Košice - Barca,POP_above_65_2020,704
HU HOBO,Košice - Dargovských hrdinov,POP_0-14_2020,3589
HU HOBO,Košice - Dargovských hrdinov,POP_15-64_2020,16844
