Column1,Column2,Column3,Column4
Bodrogkeresztúr,L, Real estate activities*,8
Bodrogkeresztúr,H, Transportation and storage,NULL
Bodrogkeresztúr,E," Water supply, sewerage, waste management and remediation",NULL
Bodrogkeresztúr,G," Wholesale and retail trade, repair of motor vehicles and mo",18
Bodrogkisfalud,I, Accommodation and Food service activities,7
Bodrogkisfalud,U, Activities of extra-territorial organizations and bodies,NULL
Bodrogkisfalud,T, Activities of households as employers; undifferentiated goo,NULL
Bodrogkisfalud,N, Administrative and support service activities,5
Bodrogkisfalud,A," Agriculture, forestry and fishing",134
Bodrogkisfalud,R," Arts, entertainment and recreation",6
Bodrogkisfalud,F, Construction,5
Bodrogkisfalud,P, Education,NULL
Bodrogkisfalud,D," Electricity, gas, steam and air-conditioning supply",NULL
Bodrogkisfalud,K, Financial and insurance activities,NULL
Bodrogkisfalud,Q, Human health and social work activities,NULL
Bodrogkisfalud,J, Information and communication,NULL
Bodrogkisfalud,C, Manufacturing,17
Bodrogkisfalud,B, Mining and quarrying,NULL
Bodrogkisfalud,S, Other services,6
Bodrogkisfalud,M," Professional, scientific and technical activities",5
Bodrogkisfalud,O," Public administration and defence, compulsory social securi",NULL
Bodrogkisfalud,L, Real estate activities*,8
Bodrogkisfalud,H, Transportation and storage,NULL
Bodrogkisfalud,E," Water supply, sewerage, waste management and remediation",NULL
Bodrogkisfalud,G," Wholesale and retail trade, repair of motor vehicles and mo",5
Bodrogolaszi,I, Accommodation and Food service activities,NULL
Bodrogolaszi,U, Activities of extra-territorial organizations and bodies,NULL
Bodrogolaszi,T, Activities of households as employers; undifferentiated goo,NULL
Bodrogolaszi,N, Administrative and support service activities,NULL
Bodrogolaszi,A," Agriculture, forestry and fishing",110
Bodrogolaszi,R," Arts, entertainment and recreation",NULL
Bodrogolaszi,F, Construction,12
Bodrogolaszi,P, Education,8
Bodrogolaszi,D," Electricity, gas, steam and air-conditioning supply",NULL
Bodrogolaszi,K, Financial and insurance activities,NULL
Bodrogolaszi,Q, Human health and social work activities,NULL
Bodrogolaszi,J, Information and communication,NULL
Bodrogolaszi,C, Manufacturing,14
Bodrogolaszi,B, Mining and quarrying,NULL
Bodrogolaszi,S, Other services,13
Bodrogolaszi,M," Professional, scientific and technical activities",NULL
Bodrogolaszi,O," Public administration and defence, compulsory social securi",NULL
Bodrogolaszi,L, Real estate activities*,NULL
Bodrogolaszi,H, Transportation and storage,NULL
Bodrogolaszi,E," Water supply, sewerage, waste management and remediation",NULL
Bodrogolaszi,G," Wholesale and retail trade, repair of motor vehicles and mo",9
Boldogkőújfalu,I, Accommodation and Food service activities,NULL
Boldogkőújfalu,U, Activities of extra-territorial organizations and bodies,NULL
Boldogkőújfalu,T, Activities of households as employers; undifferentiated goo,NULL
Boldogkőújfalu,N, Administrative and support service activities,NULL
Boldogkőújfalu,A," Agriculture, forestry and fishing",39
Boldogkőújfalu,R," Arts, entertainment and recreation",NULL
Boldogkőújfalu,F, Construction,10
Boldogkőújfalu,P, Education,NULL
Boldogkőújfalu,D," Electricity, gas, steam and air-conditioning supply",NULL
Boldogkőújfalu,K, Financial and insurance activities,NULL
Boldogkőújfalu,Q, Human health and social work activities,NULL
Boldogkőújfalu,J, Information and communication,NULL
Boldogkőújfalu,C, Manufacturing,NULL
Boldogkőújfalu,B, Mining and quarrying,NULL
Boldogkőújfalu,S, Other services,NULL
Boldogkőújfalu,M," Professional, scientific and technical activities",NULL
Boldogkőújfalu,O," Public administration and defence, compulsory social securi",NULL
Boldogkőújfalu,L, Real estate activities*,NULL
Boldogkőújfalu,H, Transportation and storage,NULL
Boldogkőújfalu,E," Water supply, sewerage, waste management and remediation",NULL
Boldogkőújfalu,G," Wholesale and retail trade, repair of motor vehicles and mo",NULL
Boldogkőváralja,I, Accommodation and Food service activities,11
Boldogkőváralja,U, Activities of extra-territorial organizations and bodies,NULL
Boldogkőváralja,T, Activities of households as employers; undifferentiated goo,NULL
Boldogkőváralja,N, Administrative and support service activities,NULL
Boldogkőváralja,A," Agriculture, forestry and fishing",127
Boldogkőváralja,R," Arts, entertainment and recreation",6
Boldogkőváralja,F, Construction,16
Boldogkőváralja,P, Education,NULL
Boldogkőváralja,D," Electricity, gas, steam and air-conditioning supply",NULL
Boldogkőváralja,K, Financial and insurance activities,NULL
Boldogkőváralja,Q, Human health and social work activities,NULL
Boldogkőváralja,J, Information and communication,NULL
Boldogkőváralja,C, Manufacturing,5
Boldogkőváralja,B, Mining and quarrying,NULL
Boldogkőváralja,S, Other services,9
Boldogkőváralja,M," Professional, scientific and technical activities",5
Boldogkőváralja,O," Public administration and defence, compulsory social securi",NULL
Boldogkőváralja,L, Real estate activities*,7
Boldogkőváralja,H, Transportation and storage,NULL
Boldogkőváralja,E," Water supply, sewerage, waste management and remediation",NULL
Boldogkőváralja,G," Wholesale and retail trade, repair of motor vehicles and mo",10
