full_name,total_st_area,within_st_area,pct,gids,category,part_vchu,legal_founds,legal_founds_1,national_deg_protection,current_degree_protection,size_protection_zone,code_eu_imp,sum_object_sizes
PP Trstinove jazero,1.04195E-06,1.04195E-06,1,34,PP,nie,"""1990/01/01 00:00:00.000""","""Nariadenie Okresného národného výboru Košice - vidiek zo 14.2.1990 ?. 36 - ú?innos? od 1.3.1990, 4. stupe? ochrany - Vyhláška Krajského úradu životného prostedia v Košiciach ?. 7/2004 z 22.9.2004 - ú?innos? od 1.10.2004""",4,4,obvod 60 m,SKUEV0326,0.853781
PR Dlhe Tice,6.68462E-05,1.12468E-05,0.168248442,4,PR,CHKO,"""1993/01/01 00:00:00.000""","""Vyhláška Ministerstva životného prostredia Slovenskej republiky ?. 83/1993 Z. z. z 23. marca 1993""",5,"5, 4",obvod 100 m,SKUEV0006,54.961
PR Krcmarka,0.000312876,0.000312876,1,3911,PR,nie,"""1974/01/01 00:00:00.000"",""1974/01/01 00:00:00.000""","""Úprava Ministerstva kultúry Slovenskej socialistickej republiky ?. 3583/1974-OP z 27.5.1974 - ú?innos? od 1.6.1974, 4. stupe? ochrany - Vyhláška Krajského úradu životného prostedia v Košiciach ?. 7/2004 z 22.9.2004 - ú?innos? od 1.10.20"",""Úprava Ministerstva kultúry Slovenskej socialistickej republiky ?. 3583/1974-OP z 27.5.1974 - ú?innos? od 1.6.1974, 4. stupe? ochrany - Vyhláška Krajského úradu životného prostedia v Košiciach ?. 7/2004 z 22.9.2004 - ú?innos? od 1.10.20""",4,4,obvod 100 m,,256.1632
PR Mala Izra,9.30035E-07,9.30035E-07,1,82,PR,nie,"""1976/01/01 00:00:00.000""","""Výnos Ministerstva kultúry Slovenskej socialistickej republiky ?. 1160/1988-32 z 30.6.1988""",5,5,obvod 100 m,SKUEV0327,0.763043
PR Marocka hola,7.82284E-05,7.82284E-05,1,12,PR,nie,"""1950/01/01 00:00:00.000""","""Úprava Ministerstva kultúry Slovenskej socialistickej republiky ?. 2903/1986-32 z 31.3.1986 - ú?innos? od 1.7.1986, 4. stupe? ochrany - Vyhláška Krajského úradu životného prostedia v Košiciach ?. 7/2004 z 22.9.2004 - ú?innos? od 1.10.20""",4,4,obvod 100 m,SKUEV0327,64.1637
PR Slansky hradny vrch,1.92475E-05,1.92475E-05,1,14,PR,nie,"""1932/01/01 00:00:00.000""","""Úprava Ministerstva kultúry Slovenskej socialistickej republiky ?. 1563/1983-32 z 31.3.1983 - ú?innos? od 1.5.1983, 4. stupe? ochrany - Vyhláška Krajského úradu životného prostedia v Košiciach ?. 7/2004 z 22.9.2004 - ú?innos? od 1.10.20""",4,4,obvod 100 m,SKUEV0326,15.7719
PR Tarbucka,0.000236414,0.000236414,1,86155,PR,CHKO,"""1986/01/01 00:00:00.000"",""2004/05/01 00:00:00.000"",""2017/11/01 00:00:00.000""","""Úprava Ministerstva kultúry Slovenskej socialistickej republiky ?. 2910/1986-32 z 31. marca 1986"",""Výnos Ministerstva životného prostredia Slovenskej republiky ?. 3/2004-5.1 zo 14. júla 2004"",""Výnos Ministerstva životného prostredia Slovenskej republiky ?. 3/2004-5.1 zo 14. júla 2004""",5,4,obvod 100 m,SKUEV0019,195.1402
PR Vysoky vrch,4.3724E-05,4.3724E-05,1,15,PR,nie,"""1993/01/01 00:00:00.000""","""Vyhláška Ministerstva životného prostredia Slovenskej republiky ?. 83/1993 Z. z. z 23. marca 1993""",5,5,obvod 100 m,SKUEV0328,35.7012
PR Zemplinska jelsina,6.09765E-05,6.09765E-05,1,2,PR,nie,"""1981/01/01 00:00:00.000""","""Úprava Ministerstva kultúry Slovenskej socialistickej republiky ?. 3250/1981-32 z 30.6.1981""",5,5,obvod 100 m,,50.1108
Strahulka (Natura 2000),0.001428309,0.001428309,1,71,Natura 2000,,NULL,"""Výnos Ministerstva životného prostredia Slovenskej republiky ?. 3/2004-5.1 zo 14. júla 2004""",,,,skuev0326,1170.007
Stredne Pohornadie (Natura 2000),0.008687934,0.006919605,0.796461525,70,Natura 2000,,NULL,"""Výnos Ministerstva životného prostredia Slovenskej republiky ?. 3/2004-5.1 zo 14. júla 2004""",,,,skuev0328,7092.96
Trebejovske skaly (Natura 2000),5.78682E-05,5.78682E-05,1,53,Natura 2000,,NULL,"""Výnos Ministerstva životného prostredia Slovenskej republiky ?. 3/2004-5.1 zo 14. júla 2004""",,,,skuev0941,47.2466
