muni,index,nm3,nm4,ku,un_nnkp,zn_nnkp,c_uzpf_nnkp,index_po,un_po,bu_po,addr,r_num,o_num,parcel_nuk,est,p_style,author,protectet_unit,ownership_type,adresa,gps_latitude,gps_longitude,geom,route_in_500m,n_tracks_in_500,closest_track,closest_track_m,google_street_view,nearest_route_point,dmo_name,cat,marker_color,muni1,wine_region_tokaj_mun_network,zemplin_geopark,se,nw,idn3,cat_en,cat_rank,cat_rank_en
Košice,556,Košice I,Košice 1-Staré Mesto,Stredné Mesto,SOCHA NA STĹPE,stĺp so sochou Panny Márie,1124,1,SOCHA NA STĹPE,Panna Mária Immaculata,Hlavné nám.,NULL,NULL,2450,1720-1723,barok,"Tornyossy T., Griming S.",MPR,Samospráva miest a obcí,"Hlavné nám. Košice 1-Staré Mesto, Okres Košice I",48.7206469,21.2581752,0101000020E610000065A318C5174235405DBB59283E5C4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7206469,21.2581752&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,Sochy a súsošia,#0047AB,NULL,NULL,NULL,NULL,NULL,NULL,Sculptures,24,(24) Sculptures
Košice,694,Košice I,Košice 1-Staré Mesto,Stredné Mesto,SÚSOŠIE NA STĹPE,Trojičný stĺp,3370,3,OPLOTENIE S MREŽOU,"kov,kameň",Dominikánske nám.,NULL,NULL,2452,1929,historizmus,NULL,MPR,Samospráva miest a obcí,"Dominikánske nám. Košice 1-Staré Mesto, Okres Košice I",48.7205878,21.2557779,0101000020E6100000208A13A97A413540C37295383C5C4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7205878,21.2557779&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,Sochy a súsošia,#0047AB,NULL,NULL,NULL,NULL,NULL,NULL,Sculptures,24,(24) Sculptures
Košice,693,Košice I,Košice 1-Staré Mesto,Stredné Mesto,SÚSOŠIE NA STĹPE,Trojičný stĺp,3370,2,SÚSOŠIE-KÓPIA,sv.Trojica,Dominikánske nám.,NULL,NULL,2452,1984,NULL,ŠRA Bratislava,MPR,Samospráva miest a obcí,"Dominikánske nám. Košice 1-Staré Mesto, Okres Košice I",48.7205878,21.2557779,0101000020E6100000208A13A97A413540C37295383C5C4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7205878,21.2557779&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,Sochy a súsošia,#0047AB,NULL,NULL,NULL,NULL,NULL,NULL,Sculptures,24,(24) Sculptures
Košice,692,Košice I,Košice 1-Staré Mesto,Stredné Mesto,SÚSOŠIE NA STĹPE,Trojičný stĺp,3370,1,STĹP S PODSTAVCOM,valcový,Dominikánske nám.,NULL,NULL,2452,1722,barok,G.S. (Šimon Griming) ?,MPR,Samospráva miest a obcí,"Dominikánske nám. Košice 1-Staré Mesto, Okres Košice I",48.7205878,21.2557779,0101000020E6100000208A13A97A413540C37295383C5C4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7205878,21.2557779&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,Sochy a súsošia,#0047AB,NULL,NULL,NULL,NULL,NULL,NULL,Sculptures,24,(24) Sculptures
Košice,585,Košice I,Košice 1-Staré Mesto,Letná,MÚZEUM A PAM.TAB.,Východoslovenské múzeum,1152,2,TABUĽA PAMÄTNÁ,Klimkovičovci,Maratónu mieru nám.,62,2,5,1972,NULL,Račko Arpád,MPR,Samospráva miest a obcí,"Maratónu mieru nám. 2, Košice 1-Staré Mesto, Okres Košice I",48.7272775,21.2534202,0101000020E610000052256F25E0403540EECEDA6D175D4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7272775,21.2534202&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,"Múzeá, galérie, divadlá",#E936A7,NULL,NULL,NULL,NULL,NULL,NULL,"Museums, galleries, theatres",18,"(18) Museums, galleries, theatres"
Košice,584,Košice I,Košice 1-Staré Mesto,Letná,MÚZEUM A PAM.TAB.,Východoslovenské múzeum,1152,1,MÚZEUM,solitér,Maratónu mieru nám.,62,2,5,1898-1901,novorenesancia,Jakab Arpád a Gejza,MPR,vyšší územný celok,"Maratónu mieru nám. 2, Košice 1-Staré Mesto, Okres Košice I",48.7272775,21.2534202,0101000020E610000052256F25E0403540EECEDA6D175D4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7272775,21.2534202&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,"Múzeá, galérie, divadlá",#E936A7,NULL,NULL,NULL,NULL,NULL,NULL,"Museums, galleries, theatres",18,"(18) Museums, galleries, theatres"
Košice,555,Košice I,Košice 1-Staré Mesto,Stredné Mesto,DIVADLO A PAM.TAB.,Divadlo Janka Borodáča,1123,2,TABUĽA PAMÄTNÁ S RELIÉFOM,Borodáč Ján,Hlavné nám.,4,1,4,1970,NULL,"Bartusz Juraj,akad.soch.",MPR,Príspevková organizácia,"Hlavné nám. 1, Košice 1-Staré Mesto, Okres Košice I",48.7206469,21.2581752,0101000020E610000065A318C5174235405DBB59283E5C4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7206469,21.2581752&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,"Múzeá, galérie, divadlá",#E936A7,NULL,NULL,NULL,NULL,NULL,NULL,"Museums, galleries, theatres",18,"(18) Museums, galleries, theatres"
Košice,554,Košice I,Košice 1-Staré Mesto,Stredné Mesto,DIVADLO A PAM.TAB.,Divadlo Janka Borodáča,1123,1,DIVADLO,"priezorové,solitér",Hlavné nám.,4,1,4,1897-1899,novobarok,"Lang Adolf, Repaský Michal, Jakabovci Arpád a Gejza",MPR,Príspevková organizácia,"Hlavné nám. 1, Košice 1-Staré Mesto, Okres Košice I",48.7206469,21.2581752,0101000020E610000065A318C5174235405DBB59283E5C4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7206469,21.2581752&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,"Múzeá, galérie, divadlá",#E936A7,NULL,NULL,NULL,NULL,NULL,NULL,"Museums, galleries, theatres",18,"(18) Museums, galleries, theatres"
Košice,586,Košice I,Košice 1-Staré Mesto,Letná,MÚZEUM A PAM.TAB.,Východoslovenské múzeum,1152,3,TABUĽA PAMÄTNÁ,1.výtvarná škola E.Króna,Maratónu mieru nám.,62,2,5,1971,NULL,NULL,MPR,Samospráva miest a obcí,"Maratónu mieru nám. 2, Košice 1-Staré Mesto, Okres Košice I",48.7272775,21.2534202,0101000020E610000052256F25E0403540EECEDA6D175D4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7272775,21.2534202&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,"Múzeá, galérie, divadlá",#E936A7,NULL,NULL,NULL,NULL,NULL,NULL,"Museums, galleries, theatres",18,"(18) Museums, galleries, theatres"
Hraň,268,Trebišov,Hraň,Hraň,KAŠTIEĽ,"kaš.Losonczyovcov,Begányiovcov",12031,1,KAŠTIEĽ,solitér,SNP ul.,157,31,20,pred 1530,renesancia,NULL,NULL,Vlastníctvo cirkvi a cirk. organizácií,"SNP ul. 31, Hraň, Okres Trebišov",48.5446965,21.7884992,0101000020E610000013EC6415DBC9354072DF6A9DB8454840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.5446965,21.7884992&cbp=11,0,0,0,0",NULL,NULL,Kaštiele a paláce,#ffe119,Hraň,False,True,True,NULL,811,Mansions and palaces,13,(13) Mansions and palaces
Streda nad Bodrogom,1837,Trebišov,Streda nad Bodrogom,Streda nad Bodrogom,KAŠTIEĽ S AREÁLOM,Szerdahelyiovský kaštieľ,42,6,BRÁNA OPEVNENIA II.,"prejazdový,solitér",Hlavná ul.,390,176,1664/2,16.-17.st.,renesancia,NULL,NULL,Samospráva miest a obcí,"Hlavná ul. 176, Streda nad Bodrogom, Okres Trebišov",48.3695527,21.753316,0101000020E6100000B58D3F51D9C035400253BC804D2F4840,"{""(23.95m)  5718 Veľká Krčava - Pacín""}",1, 5718 Veľká Krčava - Pacín,23.95,"http://maps.google.com/maps?q=&layer=c&cbll=48.3695527,21.753316&cbp=11,0,0,0,0","48.3694774744256,21.7535089243968",NULL,Kaštiele a paláce,#ffe119,Streda nad Bodrogom,False,True,True,NULL,811,Mansions and palaces,13,(13) Mansions and palaces
Hraň,267,Trebišov,Hraň,Hraň,KAŠTIEĽ A PARK,kaštieľ a park,1640,2,PARK,NULL,NULL,NULL,0,1897/10,Okolo r.1900,prírodnokrajinársky,NULL,NULL,Rozpočtová organizácia,"Hraň 0, Okres Trebišov",48.5446965,21.7884992,0101000020E610000013EC6415DBC9354072DF6A9DB8454840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.5446965,21.7884992&cbp=11,0,0,0,0",NULL,NULL,Kaštiele a paláce,#ffe119,Hraň,False,True,True,NULL,811,Mansions and palaces,13,(13) Mansions and palaces
Hraň,266,Trebišov,Hraň,Hraň,KAŠTIEĽ A PARK,kaštieľ a park,1640,1,KAŠTIEĽ,NULL, ,447,447,1898,Okolo r.1900,eklektizmus,NULL,NULL,Rozpočtová organizácia,"  447, Hraň, Okres Trebišov",48.5446965,21.7884992,0101000020E610000013EC6415DBC9354072DF6A9DB8454840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.5446965,21.7884992&cbp=11,0,0,0,0",NULL,NULL,Kaštiele a paláce,#ffe119,Hraň,False,True,True,NULL,811,Mansions and palaces,13,(13) Mansions and palaces
Trebišov,1852,Trebišov,Trebišov,Trebišov,KAŠTIEĽ S AREÁLOM,Andrássyovský kaštieľ,1,1,KAŠTIEĽ,NULL,Štefánikova ul.,257,61,1,1786,barok neskorý,NULL,NULL,vyšší územný celok,"Štefánikova ul. 61, Trebišov, Okres Trebišov",48.6284913,21.715555,0101000020E6100000417DCB9C2EB7354007A9256772504840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.6284913,21.715555&cbp=11,0,0,0,0",NULL,NULL,Kaštiele a paláce,#ffe119,Trebišov,True,False,NULL,NULL,811,Mansions and palaces,13,(13) Mansions and palaces
Trebišov,1854,Trebišov,Trebišov,Trebišov,KAŠTIEĽ S AREÁLOM,Andrássyovský kaštieľ,1,3,STAVBA HOSPODÁRSKA,solitér,Štefánikova ul.,260,61,9,po 1866,novobarok,NULL,NULL,vyšší územný celok,"Štefánikova ul. 61, Trebišov, Okres Trebišov",48.6284913,21.715555,0101000020E6100000417DCB9C2EB7354007A9256772504840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.6284913,21.715555&cbp=11,0,0,0,0",NULL,NULL,Kaštiele a paláce,#ffe119,Trebišov,True,False,NULL,NULL,811,Mansions and palaces,13,(13) Mansions and palaces
Trebišov,1855,Trebišov,Trebišov,Trebišov,KAŠTIEĽ S AREÁLOM,Andrássyovský kaštieľ,1,4,JAZDIAREŇ,NULL,Štefánikova ul.,2751,63,7/2,2.pol.19.st.,novobarok,NULL,NULL,vyšší územný celok,"Štefánikova ul. 63, Trebišov, Okres Trebišov",48.6284913,21.715555,0101000020E6100000417DCB9C2EB7354007A9256772504840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.6284913,21.715555&cbp=11,0,0,0,0",NULL,NULL,Kaštiele a paláce,#ffe119,Trebišov,True,False,NULL,NULL,811,Mansions and palaces,13,(13) Mansions and palaces
