mun_id,mun_name,yr,cat_id,cat_name,val
SK042B528170,Borša,2010,U11402,Private kindergartens - classes,0
SK042B528170,Borša,2010,U11403,Private kindergartens - teachers,0
SK042B528170,Borša,2005,U11001,Kindergartens in total,1
SK042B528170,Borša,2005,U11002,Kindergartens in total - children,24
SK042B528170,Borša,2005,U11020,Kindergartens - state,1
SK042B528170,Borša,2005,U11021,Kindergartens - state - children,24
SK042B528170,Borša,2005,U11022,Kindergartens - state - classes,1
SK042B528170,Borša,2005,U11023,Kindergartens - state - teachers,2
SK042B528170,Borša,2005,U11300,Church kindergartens,0
SK042B528170,Borša,2005,U11301,Church kindergartens - children,0
SK042B528170,Borša,2005,U11302,Church kindergartens - classes,0
SK042B528170,Borša,2005,U11303,Church kindergartens - teachers,0
SK042B528170,Borša,2005,U11400,Private kindergartens,0
SK042B528170,Borša,2005,U11401,Private kindergartens - children,0
SK042B528170,Borša,2005,U11402,Private kindergartens - classes,0
SK042B528170,Borša,2005,U11403,Private kindergartens - teachers,0
SK042B528170,Borša,2000,U11001,Kindergartens in total,1
SK042B528170,Borša,2000,U11002,Kindergartens in total - children,27
SK042B528170,Borša,2000,U11020,Kindergartens - state,1
SK042B528170,Borša,2000,U11021,Kindergartens - state - children,27
SK042B528170,Borša,2000,U11022,Kindergartens - state - classes,1
SK042B528170,Borša,2000,U11023,Kindergartens - state - teachers,2
SK042B528170,Borša,2000,U11300,Church kindergartens,0
SK042B528170,Borša,2000,U11301,Church kindergartens - children,0
SK042B528170,Borša,2000,U11302,Church kindergartens - classes,0
SK042B528170,Borša,2000,U11303,Church kindergartens - teachers,0
SK042B528170,Borša,2000,U11400,Private kindergartens,0
SK042B528170,Borša,2000,U11401,Private kindergartens - children,0
SK042B528170,Borša,2000,U11402,Private kindergartens - classes,0
SK042B528170,Borša,2000,U11403,Private kindergartens - teachers,0
SK042B528200,Brehov,2020,U11001,Kindergartens in total,1
SK042B528200,Brehov,2020,U11002,Kindergartens in total - children,21
SK042B528200,Brehov,2020,U11020,Kindergartens - state,1
SK042B528200,Brehov,2000,U11300,Church kindergartens,0
SK042B528200,Brehov,2020,U11021,Kindergartens - state - children,21
SK042B528200,Brehov,2020,U11022,Kindergartens - state - classes,1
SK042B528200,Brehov,2020,U11023,Kindergartens - state - teachers,2
SK042B528200,Brehov,2020,U11300,Church kindergartens,0
SK042B528200,Brehov,2020,U11301,Church kindergartens - children,0
SK042B528200,Brehov,2020,U11302,Church kindergartens - classes,0
SK042B528200,Brehov,2020,U11303,Church kindergartens - teachers,0
SK042B528200,Brehov,2020,U11400,Private kindergartens,0
SK042B528200,Brehov,2020,U11401,Private kindergartens - children,0
SK042B528200,Brehov,2020,U11402,Private kindergartens - classes,0
SK042B528200,Brehov,2020,U11403,Private kindergartens - teachers,0
SK042B528200,Brehov,2015,U11001,Kindergartens in total,1
SK042B528200,Brehov,2015,U11002,Kindergartens in total - children,14
