index,from_a,to_b,route_time,route_km,operating,geom,dur_min,sector,inner_sector
0,Lastovce,Michaľany,3 min,1 km,TRUE,0101000020E61000004AACD6D358A0354077F8C66BB9424840,3,SK HOBO CORE,se
0,Nižná Myšľa,Michaľany,34 min,33 km,TRUE,0101000020E61000004AACD6D358A0354077F8C66BB9424840,34,SK HOBO CORE,se
0,Ruskov,Michaľany,24 min,26 km,TRUE,0101000020E61000004AACD6D358A0354077F8C66BB9424840,24,SK HOBO CORE,se
0,Slanec,Michaľany,17 min,19 km,TRUE,0101000020E61000004AACD6D358A0354077F8C66BB9424840,17,SK HOBO CORE,se
0,Slovenské Nové Mesto,Michaľany,10 min,14 km,TRUE,0101000020E61000004AACD6D358A0354077F8C66BB9424840,10,SK HOBO CORE,se
0,Somotor,Michaľany,26 min,25 km,TRUE,0101000020E61000004AACD6D358A0354077F8C66BB9424840,26,SK HOBO CORE,se
0,Stanča,Michaľany,16 min,11 km,TRUE,0101000020E61000004AACD6D358A0354077F8C66BB9424840,16,SK HOBO CORE,se
0,Veľaty,Michaľany,9 min,5 km,TRUE,0101000020E61000004AACD6D358A0354077F8C66BB9424840,9,SK HOBO CORE,se
0,Vyšná Myšľa,Michaľany,31 min,31 km,TRUE,0101000020E61000004AACD6D358A0354077F8C66BB9424840,31,SK HOBO CORE,se
0,Streda nad Bodrogom,Michaľany,19 min,22 km,TRUE,0101000020E61000004AACD6D358A0354077F8C66BB9424840,19,SK HOBO CORE,se
