index,from_a,to_b,route_time,route_km,operating,geom,dur_min,sector,inner_sector
0,Borša,Čerhov,9 min,11 km,TRUE,0101000020E6100000772D211FF4A4354034A2B437F83A4840,9,SK HOBO CORE,se
0,Kalša,Čerhov,19 min,21 km,TRUE,0101000020E6100000772D211FF4A4354034A2B437F83A4840,19,SK HOBO CORE,se
0,Kuzmice,Čerhov,13 min,15 km,TRUE,0101000020E6100000772D211FF4A4354034A2B437F83A4840,13,SK HOBO CORE,se
0,Obišovce,Kysak,2 min,3 km,TRUE,0101000020E610000002D8800871393540613255302A6D4840,2,SK HOBO CORE,nw
0,Kuzmice,Kalša,5 min,6 km,TRUE,0101000020E61000009B1BD31396883540C3A38D23D64E4840,5,SK HOBO CORE,se
0,Michaľany,Kalša,12 min,14 km,TRUE,0101000020E61000009B1BD31396883540C3A38D23D64E4840,12,SK HOBO CORE,se
0,Nižná Myšľa,Kalša,22 min,19 km,TRUE,0101000020E61000009B1BD31396883540C3A38D23D64E4840,22,SK HOBO CORE,se
0,Ruskov,Kalša,12 min,12 km,TRUE,0101000020E61000009B1BD31396883540C3A38D23D64E4840,12,SK HOBO CORE,se
0,Slanec,Kuzmice,10 min,11 km,TRUE,0101000020E6100000ABBAFDA83C9435406BD8EF89754A4840,10,SK HOBO CORE,se
0,Slovenské Nové Mesto,Kuzmice,17 min,22 km,TRUE,0101000020E6100000ABBAFDA83C9435406BD8EF89754A4840,17,SK HOBO CORE,se
0,Somotor,Kuzmice,33 min,33 km,TRUE,0101000020E6100000ABBAFDA83C9435406BD8EF89754A4840,33,SK HOBO CORE,se
0,Vyšná Myšľa,Kuzmice,24 min,23 km,TRUE,0101000020E6100000ABBAFDA83C9435406BD8EF89754A4840,24,SK HOBO CORE,se
0,Streda nad Bodrogom,Kuzmice,26 min,30 km,TRUE,0101000020E6100000ABBAFDA83C9435406BD8EF89754A4840,26,SK HOBO CORE,se
0,Čeľovce,Trebišov,6 min,8 km,TRUE,0101000020E61000007863416150B63540520C906802514840,6,SK HOBO CORE,se
0,Lastovce,Trebišov,22 min,19 km,TRUE,0101000020E61000007863416150B63540520C906802514840,22,SK HOBO CORE,se
0,Michaľany,Trebišov,25 min,20 km,TRUE,0101000020E61000007863416150B63540520C906802514840,25,SK HOBO CORE,se
0,Stanča,Trebišov,11 min,9 km,TRUE,0101000020E61000007863416150B63540520C906802514840,11,SK HOBO CORE,se
0,Veľaty,Trebišov,17 min,15 km,TRUE,0101000020E61000007863416150B63540520C906802514840,17,SK HOBO CORE,se
