index,from_a,to_b,route_time,route_km,operating,alter_from_a,alter_to_b,uo_from_ke,km,mini,rank_dur_ke,uo_duration,rank_abc_tv,sector,inner_sector,district,geopark,tvc,sector_from_hex,json_sector,json_sector_to,inner_sector_to,to_district,to_geopark
0,"Trebišov,,AS 2",Kysta 1,27 min,19 km,TRUE,Trebišov,Kysta,NULL,19,27,NULL,over 15 under 30 min,19,Trebišov,TV,Trebišov,FALSE,TRUE,#FFA500,TV,SK HOBO CORE,Rest of geopark,Trebišov,True
0,"Trebišov,,AS","Brehov,,rázc.Biňov",36 min,24 km,TRUE,Trebišov,Brehov,NULL,24,36,NULL,over 30 under 45 min,4,Trebišov,TV,Trebišov,FALSE,TRUE,#FFA500,TV,SK HOBO CORE,Rest of geopark,Trebišov,True
0,"Trebišov,,AS","Cejkov,,Jednota",31 min,23 km,TRUE,Trebišov,Cejkov,NULL,23,31,NULL,over 30 under 45 min,7,Trebišov,TV,Trebišov,FALSE,TRUE,#FFA500,TV,SK HOBO CORE,Rest of geopark,Trebišov,True
0,"Trebišov,,AS 9","Zemplín.Branč,,rázc.Komárov 2",42 min,22 km,TRUE,Trebišov,Zemplínsky Branč,NULL,22,42,NULL,over 30 under 45 min,48,Trebišov,TV,Trebišov,FALSE,TRUE,#FFA500,TV,SK HOBO CORE,Rest of TV district,Trebišov,False
0,"Trebišov,,AS 9","Stanča,,Hrunok 1",32 min,17 km,TRUE,Trebišov,Stanča,NULL,17,32,NULL,over 30 under 45 min,36,Trebišov,TV,Trebišov,FALSE,TRUE,#FFA500,TV,SK HOBO CORE,Rest of TV district,Trebišov,False
0,"Trebišov,,AS","Zemplín.Hradište,,rázc.",11 min,7 km,TRUE,Trebišov,Zemplínske Hradište,NULL,7,11,NULL,under 15 min,46,Trebišov,TV,Trebišov,FALSE,TRUE,#FFA500,TV,SK HOBO CORE,Rest of TV district,Trebišov,False
0,"Trebišov,,AS 2","Slovenské N.Mesto,,č.d.65/152 2",37 min,30 km,TRUE,Trebišov,Slovenské Nové Mesto,NULL,30,37,NULL,over 30 under 45 min,34,Trebišov,TV,Trebišov,FALSE,TRUE,#FFA500,TV,SK HOBO CORE,TVC,Trebišov,True
0,"Trebišov,,AS","Bara,Malá Bara",53 min,34 km,TRUE,Trebišov,Bara,NULL,34,53,NULL,over 45 under 60 min,1,Trebišov,TV,Trebišov,FALSE,TRUE,#FFA500,TV,SK HOBO CORE,TVC,Trebišov,True
0,"Trebišov,,AS","Ladmovce,,č.d.100 2",57 min,40 km,TRUE,Trebišov,Ladmovce,NULL,40,57,NULL,over 45 under 60 min,20,Trebišov,TV,Trebišov,FALSE,TRUE,#FFA500,TV,SK HOBO CORE,TVC,Trebišov,True
0,"Trebišov,,AS","Sirník,,Stredisko obce",41 min,23 km,TRUE,Trebišov,Sirník,NULL,23,41,NULL,over 30 under 45 min,30,Trebišov,TV,Trebišov,FALSE,TRUE,#FFA500,TV,SK HOBO CORE,Rest of geopark,Trebišov,True
0,"Trebišov,,AS 9","Zemplín.Nová Ves,Úpor,závory 2",36 min,18 km,TRUE,Trebišov,Zemplínska Nová Ves,NULL,18,36,NULL,over 30 under 45 min,44,Trebišov,TV,Trebišov,FALSE,TRUE,#FFA500,TV,SK HOBO CORE,Rest of TV district,Trebišov,False
0,"Trebišov,,AS 4","Plechotice,,Centrum 1",11 min,9 km,TRUE,Trebišov,Plechotice,NULL,9,11,NULL,under 15 min,28,Trebišov,TV,Trebišov,FALSE,TRUE,#FFA500,TV,SK HOBO CORE,Rest of TV district,Trebišov,False
0,"Trebišov,,AS 4","Zemplín.Teplica,,ŠPP",26 min,19 km,TRUE,Trebišov,Zemplínska Teplica,NULL,19,26,NULL,over 15 under 30 min,45,Trebišov,TV,Trebišov,FALSE,TRUE,#FFA500,TV,SK HOBO CORE,Rest of TV district,Trebišov,False
