nace_root_code,nace_root_name,municipality_id,district_id,region_id,municipality,district_name,region_name,tvc_network,zemp_geopark,se,nw,n,min_emp,max_emp
A,"Agriculture, forestry and fishing",521507,806,8,Kalša,Košice - okolie,Košický kraj,False,False,True,NULL,11,12,12
A,"Agriculture, forestry and fishing",559687,806,8,Kechnec,Košice - okolie,Košický kraj,False,False,True,NULL,3,2,2
A,"Agriculture, forestry and fishing",521558,806,8,Kokšov-Bakša,Košice - okolie,Košický kraj,False,False,True,NULL,2,1,1
A,"Agriculture, forestry and fishing",521582,806,8,Košická Polianka,Košice - okolie,Košický kraj,False,False,True,NULL,4,3,3
A,"Agriculture, forestry and fishing",582514,806,8,Kostoľany nad Hornádom,Košice - okolie,Košický kraj,False,False,NULL,True,2,0,0
A,"Agriculture, forestry and fishing",521639,806,8,Kysak,Košice - okolie,Košický kraj,False,False,NULL,True,12,10,10
A,"Agriculture, forestry and fishing",521663,806,8,Malá Lodina,Košice - okolie,Košický kraj,False,False,NULL,True,4,6,10
A,"Agriculture, forestry and fishing",580252,806,8,Milhosť,Košice - okolie,Košický kraj,False,False,True,NULL,2,2,2
A,"Agriculture, forestry and fishing",518140,806,8,Nižná Hutka,Košice - okolie,Košický kraj,False,False,True,NULL,1,1,1
A,"Agriculture, forestry and fishing",521736,806,8,Nižná Myšľa,Košice - okolie,Košický kraj,False,False,True,NULL,12,4,4
A,"Agriculture, forestry and fishing",521744,806,8,Nižný Čaj,Košice - okolie,Košický kraj,False,False,True,NULL,1,1,1
A,"Agriculture, forestry and fishing",521809,806,8,Nový Salaš,Košice - okolie,Košický kraj,False,False,True,NULL,1,1,1
A,"Agriculture, forestry and fishing",521817,806,8,Obišovce,Košice - okolie,Košický kraj,False,False,NULL,True,6,5,5
A,"Agriculture, forestry and fishing",521825,806,8,Olšovany,Košice - okolie,Košický kraj,False,False,True,NULL,4,3,3
A,"Agriculture, forestry and fishing",521906,806,8,Rákoš,Košice - okolie,Košický kraj,False,False,True,NULL,4,3,3
A,"Agriculture, forestry and fishing",521957,806,8,Ruskov,Košice - okolie,Košický kraj,False,False,True,NULL,11,13,17
A,"Agriculture, forestry and fishing",521965,806,8,Sady nad Torysou,Košice - okolie,Košický kraj,False,False,True,NULL,9,3,3
A,"Agriculture, forestry and fishing",521973,806,8,Seňa,Košice - okolie,Košický kraj,False,False,True,NULL,10,9,9
