ownership_type_id,organization_size_id,sk_nace_category_id,legal_form_id,municipality_id,district_id,region_id,id,cin,tin,corporate_body_name,city,street,postal_code,last_updated_on,established_on,consolidated,data_source,created_at,updated_at,deleted,terminated_on,sid,region_name,region_en,district_name,district_en,municipality,mun_en,legal_form,lf_en,sk_nace_category,nace_en,organization_size,os_en,ownership_type,ow_en,min_emp,max_emp,sector,nace_g_name,nace_g_code,nace_cl_code,nace_cl_name,nace_root_code,nace_root_name,tvc_network,zemp_geopark,se,nw
2,0,43290,112,528099,811,8,1921562,53162455,NULL,H-FIRE s.r.o.,Trebišov,Kollárova 1076/14,7501,10/08/2020,16/07/2020,FALSE,SUSR,11/08/2020 02:32,11/08/2020 02:32,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Spol. s r. o.,Limited liability comp.,Ost.stavebná inštalácia,Oth.constr.installation,nezistený,unknown,Súkromné tuzemské,Private inland,0,0,Trebišov,"Electrical, plumbing and other construction installation activities",F43.2,F43,Specialised construction activities,F,Construction,NULL,NULL,NULL,NULL
6,0,94200,701,528099,811,8,1095741,42243521,NULL,"Základná organizácia Odborového zväzu PŠ a V na Slovensku pri Materskej škole ul. Škultétyho 1031/26, 075 01 Trebišov",Trebišov,"MŠ, Škultétyho 1031/26",7501,31/07/2017,05/03/2009,FALSE,SUSR,17/05/2016 23:16,01/08/2017 15:24,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,"Združenie (zväz,spolok)",Association,Čin.odborových org.,Activ.of trade unions,nezistený,unknown,"Združ.,p.strany,cirkvi",Ownership of associat.,0,0,Trebišov,Activities of trade unions,S94.2,S94,Activities of membership organisations,S,Other services activities,NULL,NULL,NULL,NULL
2,0,23700,112,528099,811,8,1064014,45904537,2023136687,DA-MAR s.r.o.,Trebišov,M. R. Štefánika 342/713,7501,14/02/2018,11/11/2010,FALSE,SUSR,17/05/2016 23:13,15/02/2018 02:42,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Spol. s r. o.,Limited liability comp.,Rezanie kameňa,Cutting of stone,nezistený,unknown,Súkromné tuzemské,Private inland,0,0,Trebišov,"Cutting, shaping and finishing of stone",C23.7,C23,Manufacture of other non-metallic mineral products,C,Manufacturing,NULL,NULL,NULL,NULL
2,0,46190,112,528099,811,8,1048830,45539693,2023053351,oppor2nity s. r. o.,Trebišov,Milhostov 72,7501,14/02/2018,04/06/2010,FALSE,SUSR,17/05/2016 23:13,15/02/2018 02:42,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Spol. s r. o.,Limited liability comp.,Sprostr.obch.s rozl.tov.,Agents of sale of var.go,nezistený,unknown,Súkromné tuzemské,Private inland,0,0,Trebišov,Wholesale on a fee or contract basis,G46.1,G46,"Wholesale trade, except of motor vehicles and motorcycles",G,Wholesale and retail trade; repair of motor vehicles and motorcycles,NULL,NULL,NULL,NULL
2,0,43220,101,528099,811,8,1654068,50510983,NULL,Ján Lopatnik,Trebišov,M. R. Štefánika 1515/47,7501,31/07/2017,09/09/2016,FALSE,SUSR,12/10/2016 02:03,01/08/2017 19:18,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živnostník,Entrepreneur,"Inšt.kanal,výhrev.zar.","Plumbing,heat cond.inst.",nezistený,unknown,Súkromné tuzemské,Private inland,1,1,Trebišov,"Electrical, plumbing and other construction installation activities",F43.2,F43,Specialised construction activities,F,Construction,NULL,NULL,NULL,NULL
2,0,46190,101,528099,811,8,1538073,47681616,NULL,Ing. Ladislav Szilágyi,Trebišov,Ternavská 2238/1,7501,31/07/2017,10/02/2014,FALSE,SUSR,17/05/2016 23:39,01/08/2017 17:49,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živnostník,Entrepreneur,Sprostr.obch.s rozl.tov.,Agents of sale of var.go,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,Trebišov,Wholesale on a fee or contract basis,G46.1,G46,"Wholesale trade, except of motor vehicles and motorcycles",G,Wholesale and retail trade; repair of motor vehicles and motorcycles,NULL,NULL,NULL,NULL
2,0,43210,101,528099,811,8,839558,45553386,1082869964,Jozef Bačko - JOEL,Trebišov,Ternavská 2247/20,7501,05/02/2019,02/01/2014,FALSE,SUSR,17/05/2016 23:07,06/02/2019 02:34,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živnostník,Entrepreneur,Elektrická inštalácia,Electrical installation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,Trebišov,"Electrical, plumbing and other construction installation activities",F43.2,F43,Specialised construction activities,F,Construction,NULL,NULL,NULL,NULL
2,0,43390,101,528099,811,8,836755,45929661,1083158087,Bc. Tomáš Iľko,Trebišov,Cukrovarská 4177/10B,7501,03/06/2019,19/11/2010,FALSE,SUSR,17/05/2016 23:07,04/06/2019 02:03,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živnostník,Entrepreneur,Ost.stav.kompletiz.práce,Oth.building completion,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,Trebišov,Building completion and finishing,F43.3,F43,Specialised construction activities,F,Construction,NULL,NULL,NULL,NULL
2,1,43220,101,528099,811,8,1660697,50546210,1122494318,Imrich Girman,Trebišov,Komenského 2137/63,7501,14/02/2018,04/10/2016,FALSE,SUSR,10/11/2016 02:15,15/02/2018 03:12,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živnostník,Entrepreneur,"Inšt.kanal,výhrev.zar.","Plumbing,heat cond.inst.",0 zamestnancov,0 employees,Súkromné tuzemské,Private inland,1,1,Trebišov,"Electrical, plumbing and other construction installation activities",F43.2,F43,Specialised construction activities,F,Construction,NULL,NULL,NULL,NULL
2,3,46900,110,528099,811,8,20175,10801588,1020696369,"Jozef Piecka Ing. - Trebišov, Varichovská 90, Ing. Mária Piecková - právny nástupca",Trebišov,Varichovská 2224/90,7501,03/07/2020,01/02/1991,FALSE,SUSR,17/05/2016 21:49,04/07/2020 02:05,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živ.a sl.povolanie v OR,"Entrep,free.ocup.in BR",Nešpecializ.veľkoobchod,Non-specialised wh.trade,2 zamestnanci,2 employees,Súkromné tuzemské,Private inland,2,2,Trebišov,Non-specialised wholesale trade,G46.9,G46,"Wholesale trade, except of motor vehicles and motorcycles",G,Wholesale and retail trade; repair of motor vehicles and motorcycles,NULL,NULL,NULL,NULL
